key,english,german,japanese
app_data|ad-promoters_home_desc_city,"ClubbingOwl's club promoters, guest-lists and events in <%=location%>","ClubbingOwl Club Promoter, Gaestelisten und Events in <%=location%>",
app_data|ad-promoters_home_title,Club promoters,Club Promoter,
app_data|ad-promoters_home_desc,"ClubbingOwl's club promoters, guest-lists and events","ClubbingOwl Club Promoter, Gaestelisten und Events",
app_data|ad-promoters_home_profile_desc,"<%=promoter_u_full_name%>'s ClubbingOwl promoter profile, guest-lists/tables, and events","<%=promoter_u_full_name%>'s ClubbingOwl Promoter Profil, Gaestelisten/Tische und Events",
app_data|ad-promoters_all_guest_lists_desc,<%=promoter_u_full_name%>'s ClubbingOwl's promoter guest-lists and tables,<%=promoter_u_full_name%>'s ClubbingOwl promoter Gästelisten und Tische,
app_data|ad-promoters_all_guest_lists_title,<%=promoter_u_full_name%> guest-lists and tables,<%=promoter_u_full_name%> Gaestelisten und Tische,
app_data|ad-promoters_spec_gl_desc,<%=promoter_u_full_name%>'s guest list <%=pgla_name%> @ <%=tv_name%>,<%=promoter_u_full_name%>'s Gaesteliste <%=pgla_name%> @ <%=tv_name%>,
app_data|ad-promoters_spec_gl_title,<%=promoter_u_full_name%>s guest list <%=pgla_name%> @ <%=tv_name%>,<%=promoter_u_full_name%>'s Gaesteliste <%=pgla_name%> @ <%=tv_name%>,
app_data|ad-venues_home_title_city,Venues in <%=location%>,Clubs in <%=location%>,
app_data|ad-venues_home_desc_city,"ClubbingOwl's venues, night-clubs, lounges and bars in <%=location%>","ClubbingOwl Veranstaltungen , Nachtclubs, Lounges und Bars in <%=location%>",
app_data|ad-venues_home_title,Venues,Veranstaltungen,
app_data|ad-venues_home_desc,"ClubbingOwl venues, night-clubs, lounges and bars","ClubbingOwl Veranstaltungen , Nachtclubs, Lounges und Bars",
app_data|ad-venues_home_profile_desc,<%=venue_name%> venue profile,<%=venue_name%> Veranstaltungsprofil,
app_data|ad-venues_all_guest_lists_desc,<%=venue_name%> in <%=location%> guest lists and table reservations,<%=venue_name%> in <%=location%> Gaestelisten und Reservationen fuer Tische,
app_data|ad-venues_all_guest_lists_title,<%=venue_name%> in <%=location%> guest lists and table reservations,<%=venue_name%> in <%=location%> Gaestelisten und Reservationen fuer Tische,
app_data|ad-venues_spec_gl_desc,Guest-list <%=tgla_name%> @ <%=venue_name%>,<%=tgla_name%>'s Gaesteliste @ <%=venue_name%>,
app_data|ad-venues_spec_gl_title,Guest-list <%=tgla_name%> @ <%=venue_name%>,<%=tgla_name%>'s Gaesteliste @ <%=venue_name%>,
app_data|ad-vc_user_profile,<%=user_name%> ClubbingOwl Profile,<%=user_name%>  ClubbingOwl Profil,
app_data|ad-no_search_results,"No results for ""<%=term%>""","Keine Suchergebnisse  fuer ""<%=term%>""",
app_data|ad-loading,Loading,,
app_data|ad-request_response_promoter,<%= promoter_name %> has <%= response %> your request to join <%= guest_list_name %>.,,
app_data|ad-request_response_team,<%= venue_name %> has <%= response %> your request to join <%= guest_list_name %>.,,
app_data|ad-request_response_resp_msg,Response Message:,,
app_data|ad-request_response_close,Close,,
app_data|ad-invite_friends,,,
